index;text;Hermes-2-Pro-Mistral-7B.Q6_K;Hermes-2-Pro-Llama-3-8B-Q6_K
1;My name is John;∃x (name(x) ∧ John(x));"Name(""John"") ∧ Person(""John"""
2;I see John;"∃ x (name(x, ""John"") ∧ sees(I, x))";∃x (x = John ∧ see(y, x)
3;John sees Jane;∃w (John sees Jane at time w);sees(john, jane
4;John sees a person;∃x (John sees x) ∧ (x is a person);sees(john, person
5;Mary loves everyone;∀x (Loves(Mary, x));∀x (Loves(Mary, x)
6;No one talks;∀x: ¬(Talks(x));∀x ¬talks(x
7;Mary likes every person;∀x (Mary likes x);∀x (Person(x) → Likes(Mary, x)
8;Nobody talks;∀x: ¬(Talks(x));∀x, ¬talks(x
9;Every person loves themselves;∀x (Person(x) → Loves(x, x));∀x (Person(x) → Love(x, x)
10;Not every person loves themselves;∃x (Person(x) → ¬Loves(x, x));¬∀x (Person(x) → Love(x, x)
11;Every person does not love themselves;∀x (Person(x) → ¬Loves(x, x));∀x (Person(x) → ¬Love(x, x)
12;Some people don't love themselves;∃x (Person(x) ∧ ¬Loves(x, x));∃x (Person(x) ∧ ¬Love(x, x)
13;No one loves themselves;∀x (¬L(x, x));∀x ¬(Loves(x, x)
14;Nobody loves themselves;∀x (¬L(x, x));∀x ¬(x loves x
15;Everyone loves everyone;∀x ∀y (L(x, y));∀x, ∀y (Loves(x, y) ∧ Loves(y, x)
16;A student smiles;∃x (Student(x) ∧ Smiles(x));∃x (Student(x) ∧ Smiles(x)
17;Every student smiles;∀x (Student(x) → Smiles(x));∀x (Student(x) → Smiles(x)
18;Every student except John dances;∀x (x is a student ∧ x ≠ John → x dances);∀x (Student(x) → (x ≠ John) → Dances(x)
19;Everyone dances or sleeps;∀x (dances(x) ∨ sleeps(x));∀x (Dances(x) ∨ Sleeps(x)
20;Every person dances and sleeps;∀x (Person(x) → (Dances(x) ∧ Sleeps(x)));∀x (Person(x) → Dance(x) ∧ Sleep(x)
21;Every student who likes Mary is happy;∀x (likes(x, Mary) → happy(x));∀x (Student(x) ∧ Likes(x, Mary) → Happy(x)
22;Every student who likes apples is healthy;∀x (likes(x, apples) → healthy(x));∀x (Student(x) ∧ Likes(x, Apples) → Healthy(x)
23;John likes apples;∃ x (Likes(John, x) ∧ Apple(x));likes(john, apples
24;John is not Mary;¬(John = Mary);¬(John = Mary
25;John is not a llama;¬(John ∧ Llama);¬Llama(john
26;Not all those who wander are lost;¬∀x (Wx → Lx);∀x (Wanderer(x) → ¬Lost(x)
27;No people who wander are lost;¬(Wanders(x) → Lost(x));∀x (Wanderer(x) → ¬Lost(x)
28;John does not love anyone;∀x, ¬(loves(John, x));¬(love(john, x)
29;John does not love everyone;∀x, ¬(L(j, x));¬(∀x, (Person(x) ∧ knows(x, John) → loves(x, John))
30;Everyone who sees Mary loves Mary;∀x (sees(x, Mary) → loves(x, Mary));∀x (sees(x, Mary) → loves(x, Mary)
31;Everyone loves someone;∀x (Loves(x, y));∀x ∃y (Person(x) ∧ Person(y) ∧ Loves(x, y)
32;Someone loves everyone;∃ x (∀ y (L(x, y)));∀x, y (L(x, y) → L(x, everyone) ∧ L(y, everyone)
33;Someone respects everyone;∃ x, ∀ y (respects(x, y));∀x, y (Respects(x, y)
34;Someone sees everyone;∃x (∀y (see(x, y)));∀x, y (Sees(x, y) ∧ ∀z (Sees(x, z) → y = z)
35;Someone reads and thinks;∃ x, (Reads(x) ∧ Thinks(x));read(X) ∧ think(X
36;Everyone who thinks is smart;∀x (Thinks(x) → Smart(x));∀x (Thinker(x) → Smart(x)
37;No one who runs walks;∀x (Runs(x) → ¬Walks(x));∀x (Run(x) → ¬Walk(x)
38;If anyone cheats, he suffers;∀x (Cheats(x) → Suffers(x));∀x (Cheats(x) → Suffers(x)
39;If anyone cheats, the person suffers;∀x (Cheats(x) → Suffers(x));∀x (Cheats(x) → Suffers(x)
40;If anyone cheats, a person suffers;∀x (Cheats(x) → ∃y (Suffers(y)));∀x (Cheats(x) → Suffers(y)
41;If anyone cheats, everyone suffers;∀x (Cheats(x) → ∀y (Suffers(y)));∀x (Cheats(x) → Suffers(everyone)
42;If someone cheats, everybody else suffers;∀x (Cheats(x) → ∀y (¬Cheats(y) ∧ y ≠ x → Suffers(y)));∀x (Cheats(x) → ∃y (EverybodyElse(y) ∧ Suffers(y))
43;If somebody cheats, everybody else suffers;∀x (Cheats(x) → ∀y (¬Cheats(y) ∧ y ≠ x → Suffers(y)));∀x (Cheats(x) → ∃y (EverybodyElse(y) ∧ Suffers(y))
44;Mary loves everyone except John;∀x ( (x ≠ John ∧ Loves(Mary, x)) → x = everyone else );∀x (Loves(Mary, x) ∧ ¬Loves(Mary, John) → x = John
45;Anyone who loves everyone loves himself.;∀x (∀y (loves(x, y) → loves(x, x)));∀x (Loves(x, Everyone) → Loves(x, x)
46;I don't know you;¬K(x, y);¬Know(x, y
47;Nobody knows the answer;∀x (¬Knows(x, Answer));∀x (¬knows(x, answer)
48;Jim doesn't remember what Jack told him;¬(Jim remembers Jack told him);¬(remember(jim, told(jack, jim, x))
49;Jane seems to know a lot of things;∃ K (Knows(Jane, K) ∧ ∀ x (Member(x, K) → (Knows(Jane, x) ∨ x = k)));knows(jane, x) ∧ knows(jane, y) ∧ knows(jane, z) → seemsToKnow(jane, lotOfThings
50;John will either stay or go away;"∃ x (x = ""stay"" ∨ x = ""go away"") ∧ (John will do x)";∀x (John(x) → (Stay(x) ∨ GoAway(x))
51;University students pay attention to teachers;∀x (Student(x) → ∀y (Teacher(y) → Attention(x, y)));∀x (UniversityStudent(x) → PayAttention(x, Teacher)
52;University students do not pay attention to teachers;∀(x)(Student(x) → ¬PayAttention(x, Teacher));¬(UniversityStudent(x) ∧ PayAttention(x, Teacher(y))
53;Every professor has a favorite joke that they always tell to students;∀x (Professor(x) → ∃y (FavoriteJoke(y) ∧ AlwaysTell(y, x, Student)));∀x (Professor(x) → ∃y (FavoriteJoke(x, y) ∧ AlwaysTell(x, y, Student(z)))
54;Every university professor is a person who knows some subject well;∀x (UniversityProfessor(x) → Person(x) ∧ ∃y (KnowsWell(x, y)));∀x (UniversityProfessor(x) → Person(x) ∧ Knows(x, SomeSubject) ∧ Well(x, SomeSubject)
