NL;FOL;LLM_FOL;BLEU;LE
A vacation is relaxing if it includes beautiful scenery and enjoyable activities.;∀x (Vacation(x) ∧ Relaxing(x) → (BeautifulScenery(x) ∧ EnjoyableActivities(x)));vacation(X) ∧ beautiful_scenery(Y) ∧ enjoyable_activities(Z) → relaxing(X);0.0;0.875
A gemstone can be a diamond, a ruby, or an emerald, but not more than one type of gemstone.;∀x (Gemstone(x) → ((Diamond(x) ∧ ¬(Ruby(x) ∨ Emerald(x))) ∨ (Ruby(x) ∧ ¬(Diamond(x) ∨ Emerald(x))) ∨ (Emerald(x) ∧ ¬(Diamond(x) ∨ Ruby(x)))));∀x (Gemstone(x) → (Diamond(x) ∨ Ruby(x) ∨ Emerald(x))) ∧ ¬∃x y (Gemstone(x) ∧ Gemstone(y) ∧ x ≠ y ∧ Diamond(x) ∧ Diamond(y)) ∧ ¬∃x y (Gemstone(x) ∧ Gemstone(y) ∧ x ≠ y ∧ Ruby(x) ∧ Ruby(y)) ∧ ¬∃x y (Gemstone(x) ∧ Gemstone(y) ∧ x ≠ y ∧ Emerald(x) ∧ Emerald(y));0.37517183136188087;0.0
People who speak more than one language are bilingual or multilingual.;∀x (SpeakMultipleLanguages(x) → (Bilingual(x) ∨ Multilingual(x)));∀x (Speaks(x, y, z) ∧ #y > 1 ∧ #z > 1 → Bilingual(x) ∨ Multilingual(x));0.37388015769127037;0.0
An organization is non-profit if it has a charitable mission, does not distribute profits to owners, and primarily relies on donations.;∀x (Organization(x) ∧ CharitableMission(x) ∧ ¬DistributesProfits(x) ∧ ReliesOnDonations(x) → NonProfit(x));∀x (NonProfit(x) ↔ CharitableMission(x) ∧ ¬DistributesProfits(x) ∧ PrimarilyReliesOnDonations(x));0.5544118764282059;0.15625
A flower is characterized as a monocot if it has a single cotyledon, parallel-veined leaves, and flower parts in multiples of three.;∀x (Flower(x) ∧ SingleCotyledon(x) ∧ ParallelVeinedLeaves(x) ∧ FlowerPartsInMultiplesOfThree(x) → Monocot(x));∀x (Flower(x) → (Monocot(x) ↔ (SingleCotyledon(x) ∧ ParallelVeinedLeaves(x) ∧ FlowerPartsInMultiplesOfThree(x))));0.7298926162113921;0.78125
A fabric that is lightweight, breathable, and absorbs moisture is suitable for athletic wear.;∀x (Fabric(x) ∧ Lightweight(x) ∧ Breathable(x) ∧ AbsorbsMoisture(x) → SuitableForAthleticWear(x));∀x (Lightweight(x) ∧ Breathable(x) ∧ MoistureAbsorbing(x) → AthleticWearSuitable(x));0.5357371015902906;0.96875
A place is considered a library if it houses a collection of books, periodicals, and other media for public use and study.;∀x (Place(x) ∧ HousesCollectionOfMedia(x) ∧ (Books(x) ∨ Periodicals(x) ∨ OtherMedia(x)) ∧ ForPublicUseAndStudy(x) → Library(x));∀x (Library(x) ↔ (∃y (CollectionOfBooks(y) ∧ ∃z (CollectionOfPeriodicals(z) ∧ ∃w (CollectionOfMedia(w) ∧ PublicUse(x) ∧ Study(x))))));0.20751407254102927;0.5546875
Birds possess feathers, have a beak, and lay eggs, while their ability to fly is facilitated by their lightweight bones and specialized muscles.;∀x (Bird(x) → (PossessFeathers(x) ∧ HasBeak(x) ∧ LaysEggs(x) ∧ LightweightBones(x) ∧ SpecializedMuscles(x) ∧ AbilityToFly(x)));∀x (Bird(x) → Feathers(x) ∧ Beak(x) ∧ LaysEggs(x) ∧ LightweightBones(x) ∧ SpecializedMuscles(x) ∧ FacilitatesFlight(x));0.7450471604047472;0.515625
A child plays with a toy in a playground.;∀x∀y∀z (Child(x) ∧ Toy(y) ∧ Playground(z) → PlaysWith(x, y, z));∀x (Child(x) ∧ Toy(y) ∧ Playground(z) → Plays(x, y, z));0.7291030371170781;1.0
A person is considered a physicist if they study the nature and properties of matter and energy.;∀x (Person(x) ∧ StudiesNatureAndPropertiesOfMatterAndEnergy(x) → Physicist(x));∀x (Physicist(x) ↔ Study(x, Nature, Matter, Energy));0.2232308651732177;0.625
A well-insulated building conserves energy by maintaining a stable temperature.;∀x (WellInsulatedBuilding(x) → ConservesEnergyByMaintainingStableTemperature(x));∀x (well_insulated_building(x) → (energy_conservation(x) ∧ temperature_stability(x)));0.29494729140780945;0.875
To be eligible for a promotion, an employee must have worked at the company for at least two years and have a good performance record, unless they have a recommendation from a supervisor.;∀x (Employee(x) ∧ EligibleForPromotion(x) ↔ ((WorkedAtCompanyForTwoYears(x) ∧ GoodPerformanceRecord(x)) ∨ RecommendationFromSupervisor(x)));∀x (Employee(x) ∧ ¬Promotion(x) → (¬(YearsWorkedAtCompany(x) ≥ 2) ∨ ¬GoodPerformanceRecord(x) ∨ RecommendationFromSupervisor(x)));0.5054866635463419;0.0
Not all flowers bloom in spring.;¬∀x (Flower(x) → BloomsInSpring(x));¬∃x (Flower(x) ∧ Bloom(x, Spring));0.3813707100324891;0.5
A movie is classified as a romantic comedy if it has elements of both romance and comedy.;∀x (Movie(x) ∧ HasRomance(x) ∧ HasComedy(x) → RomanticComedy(x));∀x (Movie(x) → (Romance(x) ∧ Comedy(x) → Romantic_Comedy(x)));0.5185115734210497;1.0
Chefs prepare meals, waiters serve meals, and customers enjoy meals at a restaurant.;∀x ∀y ∀z (Chef(x) ∧ Waiter(y) ∧ Customer(z) → (PreparesMeals(x) ∧ ServesMeals(y, z) ∧ EnjoysMeals(z)));"∀x (Chef(x) ∧ Prepare(x, y) → Meal(y))
∀x (Waiter(x) ∧ Serve(x, y) → Meal(y))
∀x (Customer(x) ∧ Enjoy(x, y) → Meal(y))";0.19415992307791144;0.0
